Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
UOM_MISMATCH,9778,NACLS0000115,Clamping Sleeve of N5015.1 ID 35 x OD 58 x TL 62,NRRBR0000090,NRRBR0000090,NORMAL,NORMAL,0,0,70,70,70,mm,Kg.,Round Bar EN47 70 MM,Round Bar EN47 70 MM,,PART,,I,B0005253,B0005253,,415,1
UOM_MISMATCH,10898,NACLS0000116,Clamping Sleeve of N5015.2 ID 38 x OD 60 X TL 62,NRRBR0000090,NRRBR0000090,NORMAL,NORMAL,0,0,70,70,70,mm,Kg.,Round Bar EN47 70 MM,Round Bar EN47 70 MM,,PART,,I,B0006070,B0006070,,32179,1
UOM_MISMATCH,4310,NACLS0000135,Clamping Sleeve of N5015.2 ID 38 x OD 60,NRRBR0000090,NRRBR0000090,NORMAL,NORMAL,0,0,70,70,70,mm,Kg.,Round Bar EN47 70 MM,Round Bar EN47 70 MM,,PART,,I,B0002675,B0002675,,366,1
NORMAL_ALTERNATE_FLAG_MISMATCH,1974,NAFRN0000026,Front Nut of N7012 - 130 x 180 x 38,NRRBR0000006,NRRBR0000006,NORMAL,ALTERNATE,0,1,55,55,55,mm,mm,Round Bar EN19 110 MM,Round Bar EN19 110 MM,,PART,,I,B0000120,B0000120,53 mm,33021,1
NORMAL_ALTERNATE_FLAG_MISMATCH,1978,NAFRN0000027,Front Nut of N7012 - 140 x 190 x 38,NRRBR0000006,NRRBR0000006,NORMAL,ALTERNATE,0,1,61,61,61,mm,mm,Round Bar EN19 110 MM,Round Bar EN19 110 MM,,PART,,I,,,59 mm,33030,1
NORMAL_ALTERNATE_FLAG_MISMATCH,1989,NAFRN0000028,Front Nut of N7012 - 150 x 200 x 38,NRRBR0000006,NRRBR0000006,NORMAL,ALTERNATE,0,1,62,62,62,mm,mm,Round Bar EN19 110 MM,Round Bar EN19 110 MM,,PART,,I,,,60 mm,33039,1
NORMAL_ALTERNATE_FLAG_MISMATCH,1699,NAFRN0000031,Front Nut of N7012 - 180 x 235 x 44,NRRBR0000236,NRRBR0000236,NORMAL,ALTERNATE,0,1,90,90,90,mm,mm,Round Bar EN19 105 MM,Round Bar EN19 105 MM,,PART,,I,,,88 mm,32764,1
UOM_MISMATCH,19724,NAFRN0000049,Front Nut of N7036 ID 50 x OD 85,NRRBR0000124,NRRBR0000124,NORMAL,NORMAL,0,0,27,27,27,mm,Kg.,Round Bar EN19 85 MM,Round Bar EN19 85 MM,,PART,,I,B0009485,B0009485,,35871,1
NORMAL_ALTERNATE_FLAG_MISMATCH,15089,NAFRN0000069,Front Nut of N7036 - 300 x 385 x 144,NRRBR0000227,NRRBR0000227,NORMAL,ALTERNATE,0,1,115,115,115,mm,mm,Round Bar EN19 210 mm,Round Bar EN19 210 mm,,PART,CUTTING SIZE - 16mm,I,B0007699,,113 mm,25999,1
NORMAL_ALTERNATE_FLAG_MISMATCH,9950,NAFRN0000156,Front Nut of N7515 - 80 x 120 x 60,NRRBR0000188,NRRBR0000188,NORMAL,ALTERNATE,0,1,29,29,29,mm,mm,Round Bar 4140 125 MM,Round Bar 4140 125 MM,,PART,CUTTING SIZE - 56mm,I,B0002153,B0002153,27 mm,24939,1
