Decision,DB Link ID,Parent Code,RM Code,Current DB UOM,Excel UOM,DB Qty,DB Alternate,Remark
SAFE_TO_FIX,225,NSHNT0000007,NRRBR0000102,Kg.,mm,28.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,366,NACLS0000135,NRRBR0000090,Kg.,mm,70.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,415,NACLS0000115,NRRBR0000090,Kg.,mm,70.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,1111,NAORC0000053,NRRBR0000080,Kg.,mm,155.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,2025,NCONS0001554,NRRBR0000102,Kg.,mm,90.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,4762,NCONS0001589,NRRBR0000112,Kg.,mm,57.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,4765,NCONS0001588,NRRBR0000116,Kg.,mm,57.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,5659,NHDPN0000049,NRRBR0000112,Kg.,mm,83.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,5679,NHDPN0000029,NRRBR0000112,Kg.,mm,108.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,6398,NCONS0001526,NRRBR0000044,Kg.,mm,803.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,7082,NHDPN0000043,NRRBR0000116,Kg.,mm,135.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,7151,NHDPN0000046,NRRBR0000112,Kg.,mm,88.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,7984,NSWSR0000198,NRRBR0000102,Kg.,mm,81.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,8544,NSWSR0000342,NRRBR0000116,Kg.,mm,63.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,9026,NSRLR0000087,NRRBR0000044,Kg.,mm,59.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,10915,NAFRN0000191,NRRBR0000124,Kg.,mm,32.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,10917,NARRN0000191,NRRBR0000124,Kg.,mm,32.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,11222,NCONS0001580,NRRBR0000102,Kg.,mm,60.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,11717,NAVDS0000031,NRRBR0000598,Kg.,mm,30.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,12933,NCONS0001690,NRRBR0000102,Kg.,mm,89.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,13473,NAORC0001481,NRRBR0000080,Kg.,mm,213.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15602,NSRLR0000089,NRRBR0000044,Kg.,mm,46.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15768,NCONS0001610,NRRBR0000598,Kg.,mm,89.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15798,NSRLR0000138,NRRBR0000044,Kg.,mm,53.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15814,NSRLR0000117,NRRBR0000044,Kg.,mm,75.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15819,NCONS0001892,NRRBR0000598,Kg.,mm,138.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,15986,NBHXB0000133,NRRBR0000112,Kg.,mm,105.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,18208,NAIRC0000094,NRRBR0000080,Kg.,mm,98.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,18429,NAIRC0000090,NRRBR0000080,Kg.,mm,88.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,21674,NAOTR0000265,NRRBR0000102,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,21692,NAOTR0000129,NRRBR0000102,Kg.,mm,35.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,21857,NCONS0000785,NRRBR0000112,Kg.,mm,68.000,0,Change UOM only: Kg. -> mm
