file,line,tag,type,id,name,label,placeholder,aria_label,title
templates\base.html,233,input,date,global-date-filter,,,,,Show records created on this date
templates\bom_summary.html,372,input,text,bom-search,,,"Search parent code, child code or item description",,
templates\dispatch_tracker.html,1670,input,text,dt-search,,,"Search customer, SO, WO or job card…",,
templates\dispatch_tracker.html,1695,input,date,dt-dd-new-date,,,,,
templates\dispatch_tracker.html,1698,textarea,,dt-dd-reason,,,Enter reason…,,
templates\dispatch_tracker.html,1860,input,text,dt-ap-so,,SO Number *,Enter SO No.,,
templates\dispatch_tracker.html,1881,input,text,dt-ap-customer,,Customer *,Search customer code or name...,,
templates\dispatch_tracker.html,1905,input,number,dt-ap-qty,,Allocation Qty *,Qty,,
templates\jc_review.html,65,input,text,search-input,,,"Search job card, BOM, parent, child, item...",,
templates\login.html,98,input,text,username,username,Username *,,,
templates\login.html,103,input,password,password,password,Password *,,,
templates\oee.html,883,input,text,oee-search,,,Search JC / Item / Machine...,,
templates\oee.html,925,input,date,oee-from-date,,From Date,,,
templates\oee.html,930,input,date,oee-to-date,,To Date,,,
templates\oee.html,935,select,,oee-machine-filter,,Machine,,,
templates\oee.html,942,select,,oee-process-filter,,Process,,,
templates\oee.html,952,select,,oee-operator-filter,,Operator,,,
templates\page1.html,235,input,text,so_no,,,42219,,
templates\page1.html,247,input,text,work_order_no,,,1001,,
templates\page1.html,261,input,text,customer_name,,,Enter customer name,,
templates\page1.html,281,input,date,delivery_date,,,,,
templates\page1.html,287,input,date,so_date,,,,,
templates\page1.html,291,input,date,job_card_date,,,,,
templates\page1.html,297,input,date,work_order_date,,,,,
templates\page1.html,301,input,text,remarks,,,Optional remarks,,
templates\page1.html,315,input,text,parent_code,,,Enter parent code,,
templates\page1.html,327,input,text,child-search,,,Filter child codes...,,
templates\page1.html,347,input,checkbox,select-all-cb,,,,,
templates\page1.html,374,input,text,child_code_manual,,,Enter child code,,
templates\page1.html,393,input,text,job_card_no,,,e.g. 108553,,
templates\page1.html,401,input,text,item_name,,,Type to search item...,,
templates\page1.html,417,input,number,item_qty,,,Enter qty,,
templates\page1.html,421,input,text,advance_stock,,,Enter advance stock,,
templates\page1.html,466,input,checkbox,is_priority,,,,,
templates\page1.html,474,input,text,af_material,,,,,
templates\page1.html,478,input,text,af_size,,,,,
templates\page1.html,482,input,text,af_part_name,,,,,
templates\page1.html,598,input,file,upload-file-input,,,,,
templates\page2.html,1394,input,text,pm-search,,,"Search BOM No, item code, description...",,
templates\page2.html,1430,select,,pm-filter-bom-level,,,,,BOM Level
templates\page2.html,1436,select,,pm-filter-make-buy,,,,,Make / Buy
templates\page2.html,1441,select,,pm-filter-process-status,,,,,Process Status
templates\page2.html,1447,select,,pm-filter-raw-material,,,,,Raw Material
templates\page2.html,1454,select,,pm-filter-item-type,,,,,Item Type
templates\page2.html,1460,select,,pm-filter-process-name,,,,,Process Name
templates\page2.html,1529,input,text,add-item-code,,,e.g. NAINR0001234,,
templates\page2.html,1533,input,text,add-item-desc,,,e.g. Inner Race of NHB 40,,
templates\page2.html,1541,select,,add-item-type,,,,,
templates\page2.html,1548,input,text,add-item-size,,,e.g. 42x125x35,,
templates\page2.html,1552,input,text,add-item-material,,,e.g. EN9,,
templates\page2.html,1556,input,text,add-item-part,,,e.g. Inner Race,,
templates\page2.html,1593,input,text,edit-item-code,,,,,
templates\page2.html,1597,input,text,edit-item-desc,,,,,
templates\page2.html,1601,select,,edit-item-type,,,,,
templates\page2.html,1609,select,,edit-item-make,,,,,
templates\page2.html,1617,input,text,edit-item-material,,,,,
templates\page2.html,1621,input,text,edit-item-size,,,,,
templates\page2.html,1625,input,text,edit-item-part,,,,,
templates\page2.html,1647,textarea,,edit-change-remark,,,Enter why this item or process routing is being changed,,
templates\page2.html,1745,input,file,upload-file-input,,,,,
templates\page3.html,21,input,text,jc-input,,,e.g. 108553 or 108554/108701,,
templates\page3.html,105,input,number,modal-planned-qty,,,,,
templates\page3.html,115,input,number,modal-actual-qty,,,,,
templates\page3.html,225,textarea,,modal-stage-remark,,,Enter remark for this stage change...,,
templates\page3.html,269,input,checkbox,subcontract-checkbox,,,,,
templates\page3.html,292,input,text,modal-vendor-name,,,Enter vendor / subcontractor name,,
templates\page3.html,333,input,number,modal-lead-days,,,e.g. 5,,
templates\page3.html,546,textarea,,child-c-gate-override-reason,,,Enter reason for allowing this Job Card to continue...,,
templates\page5.html,104,input,text,global-search,,,Search job cards...,,
templates\page5.html,177,input,date,ws-from-date,,,,,
templates\page5.html,200,input,date,ws-to-date,,,,,
templates\page5.html,305,textarea,,dd-reason-input,,,Enter reason for changing delivery date...,,
templates\page5.html,356,input,number,modal-planned-qty,,,,,
templates\page5.html,360,input,number,modal-actual-qty,,,,,
templates\page5.html,398,textarea,,modal-stage-remark,,,Enter remark for this stage change...,,
templates\page5.html,402,input,checkbox,subcontract-checkbox,,,,,
templates\page5.html,410,input,text,modal-vendor-name,,,Enter vendor / subcontractor name,,
templates\page5.html,417,input,number,modal-lead-days,,,e.g. 5,,
templates\page5.html,464,input,text,ejc-job-card-no,,,,,
templates\page5.html,468,input,text,ejc-so-no,,,,,
templates\page5.html,472,input,text,ejc-customer-name,,,,,
templates\page5.html,476,input,text,ejc-parent-code,,,,,
templates\page5.html,480,input,text,ejc-child-code,,,,,
templates\page5.html,484,input,text,ejc-work-order-no,,,,,
templates\page5.html,488,input,text,ejc-item-name,,,,,
templates\page5.html,492,input,text,ejc-material,,,,,
templates\page5.html,497,input,number,ejc-so-qty,,,,,
templates\page5.html,501,input,number,ejc-actual-qty,,,,,
templates\page5.html,506,input,date,ejc-delivery-date,,,,,
templates\page5.html,510,textarea,,ejc-remarks,,,,,
templates\page5.html,514,input,checkbox,ejc-is-subcontract,,,,,
templates\page5.html,520,input,text,ejc-vendor-name,,,,,
templates\user_management.html,52,input,text,u-username,,,e.g. jdoe,,
templates\user_management.html,61,input,password,u-password,,,Minimum 6 characters,,
templates\user_management.html,70,input,text,u-full-name,,,e.g. John Doe,,
templates\user_management.html,74,select,,u-role,,,,,
